user_id,avg_daily_sessions,avg_daily_events,avg_unique_apps,avg_night_ratio,avg_session_duration,avg_short_session_ratio,avg_top_app_ratio,avg_entropy,avg_reopening_index,avg_inter_session,std_daily_sessions,max_daily_sessions,days_monitored,escalation_rate,risk_label,risk_name
74,40.4,6659.7,16.6,0.3264866895149128,376.2251143040047,0.20209545778774402,0.2809469676023468,2.132289170479956,0.9044010262048945,31.079608742501364,19.368932741778924,76.0,10,1.5093167701863353,2,HIGH
75,31.5,555.0,16.5,0.37687366167023556,256.3816091954023,0.22126436781609193,0.2989666345856048,2.013915231275691,0.5622530264065734,22.724713261648745,0.7071067811865476,32.0,2,1.0,2,HIGH
76,9.5,145.0,4.0,0.26217228464419473,124.49230769230769,0.45384615384615384,0.5725451880801172,1.0137508814411897,0.9341085271317829,77.84444444444443,4.949747468305833,13.0,2,1.0,1,MEDIUM
77,7.75,231.5,3.0,0.0,244.64166666666668,0.3625,0.7387575933703315,0.644566835001944,0.8595631403916099,30.672120295698925,10.138328969101087,32.0,8,0.2916666666666667,1,MEDIUM
78,17.714285714285715,752.7142857142857,9.142857142857142,0.15022486968975976,324.86654881250746,0.1429963798384851,0.44744932564285583,1.5153551343243687,0.8303619424447682,49.90090088813303,6.447590912226719,29.0,7,1.0047169811320753,1,MEDIUM
79,34.78947368421053,1041.0526315789473,13.894736842105264,0.22740174797664664,253.764486846128,0.1801374892508732,0.42077618389285837,1.7823773664522704,0.8303116674120682,39.80269604598326,11.554599600584375,52.0,19,0.9082066869300912,2,HIGH
80,32.5,2498.25,9.25,0.2231178491335874,345.76784765188125,0.1684401965914571,0.7417738017060675,0.9824078777525986,0.9319729861396528,26.79285300925926,17.406895185529212,49.0,4,1.096774193548387,2,HIGH
81,12.0,106.75,5.0,0.0037313432835820895,203.29861111111111,0.07575757575757575,0.5355177718929217,1.1289029857086699,0.5907446311858077,36.99237163299664,8.679477710861024,23.0,4,0.92,0,LOW
82,27.384615384615383,658.0,7.3076923076923075,0.5604113482871347,448.9160054276984,0.19439421039134094,0.5224904501421211,1.2940791312866093,0.8156194309317559,27.958785412286197,19.03741255851427,55.0,13,0.5822102425876011,1,MEDIUM
83,19.25,564.5714285714286,7.535714285714286,0.4315855029785567,456.87083078651034,0.08691091326252916,0.7661155119287318,0.750028275622841,0.9341947836160335,50.599074431970095,11.24351665034862,43.0,28,0.9528985507246376,2,HIGH
84,3.388888888888889,35.02777777777778,3.638888888888889,0.2510300280492761,128.9325176366843,0.16862874779541445,0.667219880250164,0.7971614105245671,0.566665100430217,126.13964899041288,3.0357656391548105,14.0,36,0.8484848484848485,2,HIGH
85,26.5,233.0,9.0,0.173841059602649,161.90666666666667,0.36833333333333335,0.538765950573413,1.4670731733175364,0.733432577794852,23.51078431372549,12.020815280171307,35.0,2,1.0,1,MEDIUM
86,3.0,88.0,4.0,0.5,494.58333333333337,0.0,0.43746205221615053,1.2564597678701104,0.7602564102564102,50.90833333333333,0.0,3.0,2,1.0,1,MEDIUM
87,16.7,571.8,11.8,0.31272228717056505,270.80783559577674,0.2280502765208648,0.42197115293482546,1.729056696687341,0.8407038147186461,81.88264590856451,6.929005059249929,25.0,10,1.0365853658536586,1,MEDIUM
88,4.0,225.0,5.0,1.0,915.5,0.0,0.6133333333333333,0.9393134712029365,0.9285714285714286,31.166666666666668,0.0,4.0,1,1.0,2,HIGH
89,3.0,24.714285714285715,3.2857142857142856,0.07142857142857142,123.42857142857143,0.21428571428571427,0.5785035505430242,0.9560877487923924,0.38335478335478335,24.999285714285712,2.516611478423583,6.0,7,1.21875,1,MEDIUM
90,20.0,328.5,12.0,0.5,184.3,0.016666666666666666,0.36603860294117646,1.8100290917033233,0.37282229965156793,100.35765765765765,25.45584412271571,38.0,2,1.0,1,MEDIUM
91,31.0,1429.9166666666667,13.0,0.32075127825646893,352.94920450189716,0.17756089872365277,0.45513659075476914,1.5356266761297634,0.8673778713997655,40.32203219937167,9.175065023301915,43.0,12,0.9578947368421052,2,HIGH
92,20.333333333333332,974.0,11.666666666666666,0.34008092948148777,213.0988019732206,0.18224101479915433,0.34302651413382845,1.9720910659427389,0.7440864171447968,44.47969576719577,20.033305601755625,43.0,3,1.0,1,MEDIUM
93,30.5,2465.75,16.0,0.21676158517511704,206.80474750384025,0.16881290928935241,0.25077919872646787,2.308042555632923,0.9172255532024736,34.85603046594982,7.047458170621991,38.0,4,0.9365079365079365,2,HIGH
94,29.333333333333332,1276.6666666666667,15.333333333333334,0.20099133047040474,302.0354568854569,0.16917631917631917,0.3119081278918009,2.1261023826169456,0.832713256922267,38.123143891017456,8.020806277010642,37.0,3,1.0,1,MEDIUM
95,7.0,84.0,3.0,0.38095238095238093,87.66666666666667,0.3333333333333333,0.5238095238095238,0.9597916051265445,0.8048780487804879,122.66388888888889,0.0,7.0,1,1.0,2,HIGH
96,7.909090909090909,62.27272727272727,4.363636363636363,0.36360908344081905,159.04683195592287,0.20161845730027547,0.5491597683691242,1.0911339489115672,0.6785384822425814,95.62465105601468,5.3189199177003115,20.0,11,0.4613095238095239,1,MEDIUM
97,2.0,21.928571428571427,2.142857142857143,0.0,106.31972789115646,0.48299319727891155,0.7502076106380742,0.5182547196318011,0.48224967018070464,14.07777777777778,1.9611613513818404,7.0,14,2.111111111111111,2,HIGH
98,7.0,20.0,3.0,0.08333333333333333,47.6875,0.0625,0.6547619047619048,0.8325139661598301,0.7461538461538462,234.86416666666665,5.656854249492381,11.0,2,1.0,1,MEDIUM
99,33.0,428.5,12.0,0.38223903017182587,295.61185064935063,0.10367965367965366,0.3935689588932636,1.7361458528978855,0.6991433893340941,27.178156767795002,21.12818023399081,50.0,6,0.4244604316546763,2,HIGH
100,2.0,36.25,2.5,0.0,62.625,0.6875,0.7463330457290768,0.5328400232514596,0.6851648351648352,70.25833333333333,1.4142135623730951,4.0,4,0.3333333333333333,2,HIGH
101,9.5,230.5,7.5,0.13243243243243244,185.00641025641028,0.19871794871794873,0.3605880605880606,1.6334674832617677,0.8422647527910685,67.88111111111111,4.949747468305833,13.0,2,1.0,1,MEDIUM
102,38.75,1468.625,13.125,0.24047106233575172,291.73781961159057,0.16205111545743578,0.4120488235739146,1.7565248173727686,0.8383191830549744,34.24989362585795,15.8000904156545,63.0,8,0.6577540106951871,2,HIGH
103,20.5,574.0,8.5,0.5,343.2509090909091,0.08545454545454545,0.32490466624162445,1.7260057018313073,0.6878623314940281,25.29528571428572,7.7781745930520225,26.0,2,1.0,1,MEDIUM
104,38.666666666666664,1771.75,11.333333333333334,0.1974096913443363,253.79135719187218,0.11680939723127166,0.3026608157196465,1.965312536980858,0.7880946012756684,34.00868178284944,11.507573263909402,52.0,12,1.3199999999999998,2,HIGH
105,23.5,884.0,13.5,0.315884476534296,518.3659003831417,0.19731800766283525,0.3843780767968493,1.731321190454805,0.747643465112309,30.46293767507003,7.7781745930520225,29.0,2,1.0,1,MEDIUM
106,25.0,2646.0,9.5,0.17625607779578606,467.3913043478261,0.16847826086956522,0.37715454446123864,1.683732833598508,0.9321056513602644,21.351851851851855,29.698484809834994,46.0,2,1.0,1,MEDIUM
107,34.0,473.77777777777777,11.11111111111111,0.3917207833118636,237.52481213097155,0.24337700678280388,0.33951181769776095,1.9017434931471913,0.7307977225697215,31.172776178818967,14.781745499094482,48.0,9,0.7204968944099379,2,HIGH
108,29.833333333333332,5292.833333333333,13.666666666666666,0.29808168734710466,514.172319504877,0.059096334185848254,0.5005568451735825,1.4775957174695133,0.8566738222879771,34.24920496313004,19.11456687101925,50.0,6,1.5571428571428574,2,HIGH
109,8.38888888888889,68.88888888888889,4.388888888888889,0.2694838012917111,236.33710840816104,0.12450798064833152,0.6035684262107747,1.0068514427656534,0.7003839635591516,41.01751682446858,7.4291863927025235,22.0,18,1.903846153846154,2,HIGH
110,2.9565217391304346,22.08695652173913,2.0869565217391304,0.07189284145805885,46.06150950498777,0.299317711274233,0.7132002136349962,0.5486881404816105,0.6162491518549814,69.39839544513457,2.9615453716163618,13.0,23,0.9722222222222222,0,LOW
111,16.666666666666668,1110.6666666666667,10.333333333333334,0.43329097081759654,469.34588744588746,0.10822510822510822,0.4503733363865618,1.4895605796303872,0.8397321916404433,107.48523965141612,16.258331197676267,35.0,3,1.0,1,MEDIUM
